concentration_cutoff,score_7,score_6,score_5,score_4,score_3,score_2
0.0,0,0,0,0,0,0
0.01,2,3,1,1,1,0
0.02,4,32,34,20,2,0
0.03,7,39,41,39,14,0
0.04,9,45,46,71,72,0
0.05,16,62,58,91,85,0
0.06,16,65,68,170,347,0
0.07,24,85,85,184,353,0
0.08,24,88,94,199,377,0
0.09,24,88,97,221,416,0
0.1,25,95,109,240,418,0
0.11,35,116,113,253,437,0
0.12,35,118,119,292,448,0
0.13,37,124,123,312,481,0
0.14,38,126,125,325,523,0
0.15,53,142,162,1081,1313,0
0.16,53,149,170,1112,1330,0
0.17,58,155,180,1149,1332,0
0.18,58,155,181,1165,1340,0
0.19,58,165,205,1193,1351,0
0.2,70,184,210,1209,1389,0
