genus1,genus2,locus1,locus2,overlap_count,overlap
Ablerus,Acanthochalcis,L909,L909,2,C D
Ablerus,Afroneodipara,L477,L68,1,B
Ablerus,Australeunotus,L938,L938,1,G
Ablerus,Austrophotismus,L517,L638,1,H
Ablerus,Brachyelatus,L33,L35,1,G
Ablerus,Brachyelatus,L33,L33,1,G
Ablerus,Cea,L542,L543,1,G
Ablerus,Chalcis,L562,L564,1,G
Ablerus,Chalcis,L802,L803,1,G
Ablerus,Chalcis,L940,L941,1,D
Ablerus,Chalcis,L564,L564,1,D
Ablerus,Chalcis,L940,L940,1,D
Ablerus,Clytina,L112,L713,1,G
Ablerus,Coelocyba,L420,L421,1,H
Ablerus,Colotrechnus,L939,L939,1,G
Ablerus,Elatoides,L187,L638,1,A
Ablerus,Elatoides,L112,L112,1,G
Ablerus,Encarsia,L484,L484,2,C D
Ablerus,Endobia,L111,L284,1,H
Ablerus,Epistenia,L19,L19,1,G
Ablerus,Epitranus,L14,L15,1,G
Ablerus,Epitranus,L646,L647,1,G
Ablerus,Epitranus,L15,L15,1,G
Ablerus,Epitranus,L308,L308,2,C D
Ablerus,Epitranus,L647,L647,1,G
Ablerus,Euderomphale,L1022,L688,1,H
Ablerus,Euderomphale,L471,L472,2,C D
Ablerus,Euderomphale,L979,L980,2,C D
Ablerus,Euderomphale,L142,L143,1,D
Ablerus,Euderomphale,L472,L473,1,A
Ablerus,Euderomphale,L459,L459,1,G
Ablerus,Eutrichosomella,L420,L420,1,G
Ablerus,Idioporus,L584,L584,2,C D
Ablerus,Lasiochalcidia,L472,L473,1,D
Ablerus,Lasiochalcidia,L472,L472,1,D
Ablerus,Leiosema,L477,L71,1,G
Ablerus,Lelaps,L112,L713,1,G
Ablerus,Macrorileya,L182,L183,1,G
Ablerus,Macrorileya,L181,L182,1,G
Ablerus,Macrorileya,L185,L186,2,A G
Ablerus,Macrorileya,L184,L185,2,A G
Ablerus,Macrorileya,L244,L245,1,G
Ablerus,Macrorileya,L282,L283,2,G H
Ablerus,Macrorileya,L300,L301,2,A G
Ablerus,Macrorileya,L301,L302,2,A G
Ablerus,Macrorileya,L436,L437,1,A
Ablerus,Macrorileya,L439,L440,2,C D
Ablerus,Macrorileya,L447,L448,1,D
Ablerus,Macrorileya,L447,L449,1,D
Ablerus,Macrorileya,L450,L451,1,D
Ablerus,Macrorileya,L449,L450,1,D
Ablerus,Macrorileya,L511,L512,2,D G
Ablerus,Macrorileya,L50,L51,1,G
Ablerus,Macrorileya,L49,L51,1,G
Ablerus,Macrorileya,L528,L529,2,A G
Ablerus,Macrorileya,L542,L543,2,C D
Ablerus,Macrorileya,L596,L597,2,A G
Ablerus,Macrorileya,L616,L617,1,D
Ablerus,Macrorileya,L681,L682,1,D
Ablerus,Macrorileya,L680,L681,1,G
Ablerus,Macrorileya,L182,L182,2,A G
Ablerus,Macrorileya,L185,L185,2,C D
Ablerus,Macrorileya,L245,L245,2,C D
Ablerus,Macrorileya,L283,L283,1,G
Ablerus,Macrorileya,L291,L291,2,C D
Ablerus,Macrorileya,L301,L301,2,C D
Ablerus,Macrorileya,L372,L372,2,G H
Ablerus,Macrorileya,L398,L398,2,C D
Ablerus,Macrorileya,L435,L435,2,C D
Ablerus,Macrorileya,L436,L436,2,C D
Ablerus,Macrorileya,L440,L440,2,C D
Ablerus,Macrorileya,L447,L447,2,C D
Ablerus,Macrorileya,L450,L450,1,D
Ablerus,Macrorileya,L491,L491,2,C D
Ablerus,Macrorileya,L511,L511,2,C D
Ablerus,Macrorileya,L512,L512,2,C D
Ablerus,Macrorileya,L51,L51,2,C D
Ablerus,Macrorileya,L528,L528,2,C D
Ablerus,Macrorileya,L542,L542,2,C D
Ablerus,Macrorileya,L543,L543,2,C D
Ablerus,Macrorileya,L597,L597,2,C D
Ablerus,Macrorileya,L617,L617,2,C D
Ablerus,Macrorileya,L681,L681,1,D
Ablerus,Macrorileya,L766,L766,2,C D
Ablerus,Macrorileya,L818,L818,2,A G
Ablerus,Merostenus,L18,L19,1,G
Ablerus,Micradelus,L187,L971,1,A
Ablerus,Micradelus,L111,L210,1,H
Ablerus,Neochalcis,L420,L421,1,H
Ablerus,Orasema,L420,L421,1,G
Ablerus,Ormyromorpha,L420,L420,1,H
Ablerus,Ormyrus,L1021,L1021,1,C
Ablerus,Parastethynium,L205,L517,1,H
Ablerus,Perilampus,L1021,L1022,1,G
Ablerus,Torymoides,L1009,L321,1,G
Acanthochalcis,Asparagobius,L914,L915,1,G
Acanthochalcis,Asparagobius,L348,L348,1,G
Acanthochalcis,Cratocentrus,L1014,L1015,1,A
Acanthochalcis,Cratocentrus,L1036,L1037,1,H
Acanthochalcis,Cratocentrus,L10,L11,1,G
Acanthochalcis,Cratocentrus,L145,L146,2,A G
Acanthochalcis,Cratocentrus,L376,L377,2,A H
Acanthochalcis,Cratocentrus,L421,L422,1,G
Acanthochalcis,Cratocentrus,L75,L76,3,A G H
Acanthochalcis,Cratocentrus,L810,L811,1,A
Acanthochalcis,Cratocentrus,L928,L929,2,G H
Acanthochalcis,Cratocentrus,L960,L961,1,A
Acanthochalcis,Cratocentrus,L1012,L1012,1,H
Acanthochalcis,Cratocentrus,L11,L11,1,G
Acanthochalcis,Cratocentrus,L149,L149,1,H
Acanthochalcis,Cratocentrus,L172,L172,2,B G
Acanthochalcis,Cratocentrus,L231,L231,1,G
Acanthochalcis,Cratocentrus,L234,L234,2,A G
Acanthochalcis,Cratocentrus,L310,L310,2,B G
Acanthochalcis,Cratocentrus,L362,L362,1,G
Acanthochalcis,Cratocentrus,L377,L377,2,G H
Acanthochalcis,Cratocentrus,L411,L411,1,G
Acanthochalcis,Cratocentrus,L421,L421,1,G
Acanthochalcis,Cratocentrus,L422,L422,1,G
Acanthochalcis,Cratocentrus,L502,L502,1,G
Acanthochalcis,Cratocentrus,L506,L506,1,G
Acanthochalcis,Cratocentrus,L517,L517,1,G
Acanthochalcis,Cratocentrus,L541,L541,1,G
Acanthochalcis,Cratocentrus,L568,L568,1,G
Acanthochalcis,Cratocentrus,L635,L635,1,H
Acanthochalcis,Cratocentrus,L667,L667,1,G
Acanthochalcis,Cratocentrus,L869,L869,2,B G
Acanthochalcis,Cratocentrus,L904,L904,2,B G
Acanthochalcis,Cratocentrus,L924,L924,1,G
Acanthochalcis,Cratocentrus,L928,L928,2,G H
Acanthochalcis,Cratocentrus,L929,L929,1,G
Acanthochalcis,Cratocentrus,L985,L985,1,H
Acanthochalcis,Cratocentrus,L709,L710,1,G
Acanthochalcis,Cratocentrus,L744,L745,1,G
Acanthochalcis,Cratocentrus,L76,L77,1,G
Acanthochalcis,Cratocentrus,L744,L744,1,G
Acanthochalcis,Euperilampus,L420,L421,1,G
Acanthochalcis,Euperilampus,L420,L422,1,G
Acanthochalcis,Ormyromorpha,L500,L501,1,G
Acanthochalcis,Phasgonophora,L417,L418,1,G
Acanthochalcis,Phasgonophora,L180,L181,1,A
Acerophagus,Epitranus,L136,L137,1,G
Acerophagus,Epitranus,L137,L137,1,D
Acerophagus,Epitranus,L404,L404,2,C D
Acerophagus,Epitranus,L535,L535,1,D
Acerophagus,Epitranus,L772,L772,2,C D
Acerophagus,Mayridia,L1028,L1029,1,G
Acerophagus,Mayridia,L168,L169,1,G
Acerophagus,Mayridia,L30,L31,1,A
Acerophagus,Mayridia,L401,L403,1,A
Acerophagus,Mayridia,L450,L451,1,A
Acerophagus,Mayridia,L449,L450,1,G
Acerophagus,Mayridia,L511,L512,1,A
Acerophagus,Mayridia,L576,L577,1,A
Acerophagus,Mayridia,L589,L590,1,G
Acerophagus,Mayridia,L623,L624,1,G
Acerophagus,Mayridia,L67,L68,1,G
Acerophagus,Mayridia,L738,L739,1,A
Acerophagus,Mayridia,L737,L738,1,G
Acerophagus,Mayridia,L900,L901,1,G
Acerophagus,Mayridia,L993,L994,1,A
Acerophagus,Mayridia,L1024,L1024,1,D
Acerophagus,Mayridia,L1029,L1029,1,D
Acerophagus,Mayridia,L141,L141,1,D
Acerophagus,Mayridia,L169,L169,1,D
Acerophagus,Mayridia,L267,L267,1,D
Acerophagus,Mayridia,L30,L30,1,D
Acerophagus,Mayridia,L377,L377,1,G
Acerophagus,Mayridia,L401,L401,1,D
Acerophagus,Mayridia,L450,L450,1,D
Acerophagus,Mayridia,L511,L511,1,D
Acerophagus,Mayridia,L522,L522,1,D
Acerophagus,Mayridia,L576,L576,1,D
Acerophagus,Mayridia,L57,L57,1,D
Acerophagus,Mayridia,L624,L624,1,D
Acerophagus,Mayridia,L641,L641,1,D
Acerophagus,Mayridia,L68,L68,1,D
Acerophagus,Mayridia,L715,L715,1,D
Acerophagus,Mayridia,L738,L738,1,D
Acerophagus,Mayridia,L901,L901,1,G
Acerophagus,Mayridia,L993,L993,1,D
Acerophagus,Mayridia,L590,L591,2,A G
Acerophagus,Mayridia,L482,L482,1,G
Acerophagus,Mayridia,L590,L590,2,C D
Acerophagus,Mayridia,L722,L722,2,A D
Acerophagus,Metaphycus,L960,L960,1,G
Acmopolynema,Australomymar,L503,L504,1,G
Acmopolynema,Australomymar,L504,L504,1,G
Acmopolynema,Australomymar,L807,L807,1,G
Acmopolynema,Ischiodasys,L503,L504,1,G
Acmopolynema,Polynema,L112,L112,1,G
Acmopolynema,Polynema,L501,L501,1,G
Acmopolynema,Polynema,L858,L858,1,G
Aditrochus,Asparagobius,L728,L729,1,G
Aditrochus,Australeunotus,L503,L504,1,G
Aditrochus,Grooca,L925,L926,1,G
Aditrochus,Lelapsomorpha,L483,L484,1,G
Aditrochus,Macrorileya,L920,L920,1,H
Aditrochus,Microdontomerus,L420,L422,1,G
Aditrochus,Perilampomyia,L26,L27,1,G
Aditrochus,Perilampomyia,L623,L624,1,G
Aditrochus,Perilampomyia,L359,L359,1,G
Aditrochus,Perilampomyia,L526,L526,1,H
Aditrochus,Perilampomyia,L685,L686,1,H
Adontomerus,Diaspiniphagus,L368,L368,2,C D
Adontomerus,Diaspiniphagus,L368,L369,1,D
Adontomerus,Diaspiniphagus,L367,L368,1,D
Adontomerus,Diaspiniphagus,L421,L422,1,D
Adontomerus,Diaspiniphagus,L763,L764,1,D
Adontomerus,Diaspiniphagus,L762,L764,1,G
Adontomerus,Diaspiniphagus,L888,L889,1,H
Adontomerus,Diaspiniphagus,L266,L266,1,D
Adontomerus,Diaspiniphagus,L398,L398,1,D
Adontomerus,Diaspiniphagus,L422,L422,1,D
Adontomerus,Diaspiniphagus,L764,L764,1,D
Adontomerus,Diaspiniphagus,L888,L888,1,H
Adontomerus,Diaspiniphagus,L996,L996,1,G
Adontomerus,Diaspiniphagus,L376,L377,1,A
Adontomerus,Diaspiniphagus,L376,L376,1,H
Adontomerus,Dirphys,L926,L926,1,D
Adontomerus,Dirphys,L596,L597,2,A G
Adontomerus,Dirphys,L330,L330,1,G
Adontomerus,Dirphys,L512,L512,2,C D
Adontomerus,Dirphys,L596,L596,2,C D
Adontomerus,Dirphys,L610,L611,1,G
Adontomerus,Dirphys,L149,L150,1,D
Adontomerus,Dirphys,L152,L153,1,A
Adontomerus,Dirphys,L178,L179,1,G
Adontomerus,Dirphys,L190,L191,1,D
Adontomerus,Dirphys,L211,L212,1,D
Adontomerus,Dirphys,L318,L319,1,D
Adontomerus,Dirphys,L384,L385,1,G
Adontomerus,Dirphys,L385,L387,1,G
Adontomerus,Dirphys,L386,L387,1,G
Adontomerus,Dirphys,L478,L479,1,D
Adontomerus,Dirphys,L511,L512,1,G
Adontomerus,Dirphys,L611,L612,1,D
Adontomerus,Dirphys,L612,L613,1,D
Adontomerus,Dirphys,L652,L653,1,D
Adontomerus,Dirphys,L653,L654,1,D
Adontomerus,Dirphys,L680,L681,1,D
Adontomerus,Dirphys,L749,L750,1,G
Adontomerus,Dirphys,L787,L788,1,G
Adontomerus,Dirphys,L78,L79,1,D
Adontomerus,Dirphys,L149,L149,1,D
Adontomerus,Dirphys,L190,L190,1,D
Adontomerus,Dirphys,L211,L211,1,D
Adontomerus,Dirphys,L318,L318,1,D
