query_locus,query_i_num,target_loci,count_target_loci
L909,I23976,L909,1
L909,I23977,L909,1
L909,I26437,"L909,L910",2
L477,I23976,"L68,L71",2
L477,I29013,L477,1
L477,I28989,"L179,L440",2
L477,I26463,"L511,L803",2
L477,I24028,"L210,L65",2
L477,I27428,L477,1
L477,I24015,L477,1
L477,I27443,L477,1
L477,I28997,L477,1
L477,I26411,L477,1
L477,I24033,L477,1
L477,I16360,L477,1
L938,I26407,L938,1
L938,I26440,L938,1
L938,I21654,L938,1
L938,I24010,L938,1
L938,I29013,L938,1
L938,I23239,L938,1
L938,I24038,L939,1
L938,I8165,L938,1
L938,I26412,"L938,L939",2
L938,I23969,L938,1
L938,I24020,L938,1
L938,I21918,L938,1
L938,I23214,L938,1
L938,I21957,L938,1
L938,I23222,L938,1
L938,I26437,L938,1
L938,I24016,L938,1
L938,I24037,L938,1
L938,I23212,L938,1
L938,I24025,L938,1
L938,I21926,L938,1
L938,I21939,L938,1
L938,I23216,L938,1
L938,I8168,L938,1
L938,I21920,L938,1
L938,I24033,L938,1
L938,I24007,L938,1
L938,I27418,L938,1
L938,I24005,L938,1
L938,I23240,L938,1
L938,I23965,L938,1
L938,I26416,L938,1
L938,I27435,L938,1
L938,I27455,L938,1
L938,I23963,L938,1
L517,I23976,"L205,L638",2
L517,I23977,L517,1
L517,I27396,L517,1
L517,I26456,L517,1
L517,I28993,L517,1
L517,I23233,L517,1
L517,I28989,L517,1
L517,I29053,L517,1
L517,I23980,L517,1
L517,I24050,L517,1
L517,I8168,L517,1
L517,I26411,L517,1
L517,I28990,L517,1
L517,I21925,L517,1
L517,I23982,L517,1
L517,I16352,L517,1
L517,I28964,L517,1
L33,I23976,"L33,L35",2
L33,I21923,"L32,L33",2
L33,I26433,"L33,L34",2
L33,I29048,L32,1
L542,I23976,L543,1
L542,I26407,"L542,L543",2
L542,I29013,L542,1
L542,I27411,"L542,L543",2
L542,I21678,L544,1
L542,I26408,"L542,L543",2
L542,I27443,L543,1
L564,I26415,"L562,L564",2
L564,I21923,L564,1
L564,I26432,L562,1
L564,I21641,"L562,L564",2
L564,I24048,L561,1
L564,I26386,L562,1
L564,I23980,L562,1
L564,I24050,L562,1
L564,I28968,L564,1
L564,I21920,"L562,L564",2
L564,I21946,L564,1
L564,I26384,L564,1
