contamination,query_genus,target_genus,query_seq,I# query,target_seq,I# target,%similarity,length of match (bp),mismatch,gapopen, qstart ,qend ,qlength,tstart ,tend ,tlength,evalue,note
contamination,query_genus,target_genus,query_seq,I#query,target_seq,I#target,%similarity,length_of_match,mismatch,gapopen,qstart,qend,qlength,tstart,tend,tlength,evalue,expected%similarity_if_sequencingerror
,Pseudidarnes,Poropoea,L1000_MERG00010_0101_SUPERCONTIG,I29052,L1000_MERG00393_0101_SUPERCONTIG,I29006,99.56,454,2,0,323,776,816,1,454,454,0.0,99.546
,New Genus,Lambdobregma,L1000_MERG00046_0101_SUPERCONTIG,I29022,L1000_MERG00154_0101_SUPERCONTIG,I29038,99.63,547,1,1,15,561,568,1,546,546,0.0,99.453
,Lambdobregma,New Genus,L1000_MERG00154_0101_SUPERCONTIG,I29038,L1000_MERG00046_0101_SUPERCONTIG,I29022,99.63,547,1,1,1,546,546,15,561,568,0.0,99.453
,Aditrochus,Plastobelyta,L1000_MERG00309_0101_SUPERCONTIG,I21665,L1000_MERG00319_0101_SUPERCONTIG,I27434,96.09,256,10,0,142,397,489,251,506,506,1.00E-118,99.744
,Plastobelyta,Aditrochus,L1000_MERG00319_0101_SUPERCONTIG,I27434,L1000_MERG00309_0101_SUPERCONTIG,I21665,96.09,256,10,0,251,506,506,142,397,489,1.00E-118,99.744
,Poropoea,Pseudidarnes,L1000_MERG00393_0101_SUPERCONTIG,I29006,L1000_MERG00010_0101_SUPERCONTIG,I29052,99.56,454,2,0,1,454,454,323,776,816,0.0,99.546
,Eunotiscus,Macromesus,L1001_MERG00090_0101_SUPERCONTIG,I27411,L1001_MERG00303_0101_SUPERCONTIG,I27403,100.00,518,0,0,1,518,518,770,1287,1462,0.0,99.482
,Promuscidea,Solenura,L1001_MERG00091_0101_SUPERCONTIG,I27405,L1001_MERG00255_0101_SUPERCONTIG,I27397,100.00,295,0,0,1,295,295,663,957,1273,5.00E-157,99.705
,Colocharis,Kapala,L1001_MERG00097_0101_SUPERCONTIG,I12647,L1001_MERG00099_0101_SUPERCONTIG,I12623,97.08,1265,37,0,78,1342,1500,332,1596,1596,0.0,98.735
,Colocharis,Kapala,L1001_MERG00097_0101_SUPERCONTIG,I12647,L1001_MERG00099_0101_SUPERCONTIG,I12623,98.65,74,1,0,4,77,1500,746,819,1596,9.00E-32,99.926
,Kapala,Colocharis,L1001_MERG00099_0101_SUPERCONTIG,I12623,L1001_MERG00097_0101_SUPERCONTIG,I12647,97.08,1265,37,0,332,1596,1596,78,1342,1500,0.0,98.735
,Kapala,Colocharis,L1001_MERG00099_0101_SUPERCONTIG,I12623,L1001_MERG00097_0101_SUPERCONTIG,I12647,98.65,74,1,0,746,819,1596,4,77,1500,1.00E-31,99.926
,Tetramesa,Aiolomorphus,L1001_MERG00169_0101_SUPERCONTIG,I21916,L1001_MERG00161_0101_SUPERCONTIG,I21923,95.61,1208,53,0,11,1218,1228,23,1230,1408,0.0,98.792
,Aeschylia,Brachyscelidiphaga,L1001_MERG00310_0101_SUPERCONTIG,I26443,L1001_MERG00314_0101_SUPERCONTIG,I27454,98.70,461,6,0,1,461,625,212,672,672,0.0,99.539
,Brachyscelidiphaga,Aeschylia,L1001_MERG00314_0101_SUPERCONTIG,I27454,L1001_MERG00310_0101_SUPERCONTIG,I26443,98.70,461,6,0,212,672,672,1,461,625,0.0,99.539
