contamination,query_genus,target_genus,,I# query,I# target,query_seq,target_seq,,%similar,length of match (bp),tlength,qlength,mismatch,gapopen, qstart ,qend ,,tstart ,tend ,,evalue,note
1,Ablerus,Acanthochalcis,2,I23976,I23977,L909_MERG00052_0101_SUPERCONTIG,L909_MERG00055_0101_SUPERCONTIG,.,100.00,295,629,295,0,0,1,295,,152,446,,2.00E-157,withinloci
7,Ablerus,Afroneodipara,,I23976,I27401,L477_MERG00052_0101_SUPERCONTIG,L68_MERG00307_0101_SUPERCONTIG,.,100.00,70,552,1473,0,0,1,70,,1,70,,2.00E-28,betweenloci
1,Ablerus,Australeunotus,?,I26407,I27396,L938_MERG00053_0101_SUPERCONTIG,L938_MERG00282_0101_SUPERCONTIG,.,96.31,217,737,742,8,0,330,546,,284,500,,4.00E-100,withinloci
8,Ablerus,Austrophotismus,,I23976,I21640,L517_MERG00052_0101_SUPERCONTIG,L638_MERG00171_0101_SUPERCONTIG,.,100.00,58,1465,343,0,0,283,340,,1408,1465,,2.00E-22,betweenloci
7,Ablerus,Brachyelatus,,I23976,I21672,L33_MERG00052_0101_SUPERCONTIG,L35_MERG00211_0101_SUPERCONTIG,.,95.71,140,1216,306,6,0,7,146,,44,183,,5.00E-58,betweenloci
7,Ablerus,Brachyelatus,,I23976,I21672,L33_MERG00052_0101_SUPERCONTIG,L33_MERG00211_0101_SUPERCONTIG,.,95.71,140,1667,306,6,0,7,146,,802,941,,6.00E-61,withinloci
7,Ablerus,Cea,,I23976,I29013,L542_MERG00052_0101_SUPERCONTIG,L543_MERG00233_0101_SUPERCONTIG,.,95.52,67,1311,344,3,0,4,70,,18,84,,2.00E-22,betweenloci
2,Ablerus,Chalcis,2,I26415,I26423,L564_MERG00054_0101_SUPERCONTIG,L562_MERG00059_0101_SUPERCONTIG,.,100.00,75,1264,323,0,0,1,75,,1190,1264,,8.00E-32,betweenloci
2,Ablerus,Chalcis,2,I26415,I26423,L803_MERG00054_0101_SUPERCONTIG,L802_MERG00059_0101_SUPERCONTIG,.,100.00,293,1188,1005,0,0,1,293,,640,932,,2.00E-152,betweenloci
2,Ablerus,Chalcis,,I26415,I26423,L940_MERG00054_0101_SUPERCONTIG,L941_MERG00059_0101_SUPERCONTIG,.,100.00,273,1215,273,0,0,1,273,,254,526,,5.00E-142,betweenloci
1,Ablerus,Chalcis,2,I26415,I26423,L564_MERG00054_0101_SUPERCONTIG,L564_MERG00059_0101_SUPERCONTIG,.,100.00,323,1424,323,0,0,1,323,,765,1087,,1.00E-172,withinloci
1,Ablerus,Chalcis,2,I26415,I26423,L940_MERG00054_0101_SUPERCONTIG,L940_MERG00059_0101_SUPERCONTIG,.,100.00,273,980,273,0,0,1,273,,259,531,,6.00E-145,withinloci
2,Ablerus,Chalcis,,I26415,I8132,L940_MERG00054_0101_SUPERCONTIG,L941_MERG00058_0101_SUPERCONTIG,.,97.80,273,885,273,6,0,1,273,,115,387,,6.00E-132,betweenloci
2,Ablerus,Clytina,,I26415,I26412,L713_MERG00054_0101_SUPERCONTIG,L112_MERG00357_0101_SUPERCONTIG,.,95.68,185,994,657,8,0,135,319,,35,219,,3.00E-79,betweenloci
2,Ablerus,Coelocyba,,I26415,I24020,L420_MERG00054_0101_SUPERCONTIG,L421_MERG00258_0101_SUPERCONTIG,.,95.62,160,755,434,7,0,221,380,,49,208,,3.00E-67,betweenloci
1,Ablerus,Colotrechnus,,I23976,I21681,L939_MERG00052_0101_SUPERCONTIG,L939_MERG00266_0101_SUPERCONTIG,.,95.07,284,1165,526,14,0,47,330,,110,393,,9.00E-128,withinloci
2,Ablerus,Elatoides,,I26415,I27420,L187_MERG00054_0101_SUPERCONTIG,L638_MERG00276_0101_SUPERCONTIG,.,100.00,73,1041,2569,0,0,1749,1821,,1,73,,8.00E-30,betweenloci
1,Ablerus,Elatoides,2,I26415,I27420,L112_MERG00054_0101_SUPERCONTIG,L112_MERG00276_0101_SUPERCONTIG,.,95.17,290,791,828,14,0,178,467,,256,545,,1.00E-130,withinloci
1,Ablerus,Encarsia,,I26415,I26462,L484_MERG00054_0101_SUPERCONTIG,L484_MERG00040_0101_SUPERCONTIG,.,99.69,322,322,479,1,0,24,345,,1,322,,2.00E-170,withinloci
7,Ablerus,Endobia,,I26415,I21935,L111_MERG00054_0101_SUPERCONTIG,L284_MERG00164_0101_SUPERCONTIG,.,98.65,74,2059,473,0,1,401,473,,1888,1815,,7.00E-29,betweenloci
10,Ablerus,Epistenia,,I26415,I23214,L19_MERG00054_0101_SUPERCONTIG,L19_MERG00246_0101_SUPERCONTIG,.,97.48,119,1159,305,3,0,1,119,,495,613,,3.00E-54,withinloci
2,Ablerus,Epitranus,,I23976,I23979,L15_MERG00052_0101_SUPERCONTIG,L14_MERG00066_0101_SUPERCONTIG,.,99.32,296,886,575,2,0,1,296,,530,825,,4.00E-151,betweenloci
2,Ablerus,Epitranus,,I23976,I23979,L647_MERG00052_0101_SUPERCONTIG,L646_MERG00066_0101_SUPERCONTIG,.,100.00,329,770,687,0,0,1,329,,417,745,,1.00E-172,betweenloci
1,Ablerus,Epitranus,2,I23976,I23979,L15_MERG00052_0101_SUPERCONTIG,L15_MERG00066_0101_SUPERCONTIG,.,99.32,296,818,575,2,0,1,296,,184,479,,5.00E-154,withinloci
1,Ablerus,Epitranus,,I23976,I23979,L308_MERG00052_0101_SUPERCONTIG,L308_MERG00066_0101_SUPERCONTIG,.,100.00,353,683,353,0,0,1,353,,293,645,,0.0,withinloci
1,Ablerus,Epitranus,,I23976,I23979,L647_MERG00052_0101_SUPERCONTIG,L647_MERG00066_0101_SUPERCONTIG,.,100.00,329,914,687,0,0,1,329,,195,523,,1.00E-175,withinloci
10,Ablerus,Euderomphale,,I26415,I26463,L1022_MERG00054_0101_SUPERCONTIG,L688_MERG00111_0101_SUPERCONTIG,.,100.00,73,371,317,0,0,244,316,,299,371,,1.00E-30,betweenloci
9,Ablerus,Euderomphale,,I26407,I26463,L471_MERG00053_0101_SUPERCONTIG,L472_MERG00111_0101_SUPERCONTIG,.,100.00,344,344,966,0,0,475,818,,1,344,,0.0,betweenloci
8,Ablerus,Euderomphale,,I26407,I26463,L980_MERG00053_0101_SUPERCONTIG,L979_MERG00111_0101_SUPERCONTIG,.,100.00,305,305,995,0,0,76,380,,1,305,,3.00E-159,betweenloci
9,Ablerus,Eutrichosomella,,I26407,I26374,L420_MERG00053_0101_SUPERCONTIG,L420_MERG00019_0101_SUPERCONTIG,.,96.30,162,644,726,6,0,181,342,,246,407,,8.00E-73,withinloci
1,Ablerus,Idioporus,,I26407,I26403,L584_MERG00053_0101_SUPERCONTIG,L584_MERG00285_0101_SUPERCONTIG,.,100.00,324,673,324,0,0,1,324,,105,428,,2.00E-173,withinloci
2,Ablerus,Lasiochalcidia,,I23976,I23980,L472_MERG00052_0101_SUPERCONTIG,L473_MERG00071_0101_SUPERCONTIG,.,100.00,317,1043,317,0,0,1,317,,17,333,,2.00E-166,betweenloci
1,Ablerus,Lasiochalcidia,,I23976,I23980,L472_MERG00052_0101_SUPERCONTIG,L472_MERG00071_0101_SUPERCONTIG,.,100.00,317,790,317,0,0,1,317,,327,643,,2.00E-169,withinloci
7,Ablerus,Leiosema,,I23976,I16357,L477_MERG00052_0101_SUPERCONTIG,L71_MERG00107_0101_SUPERCONTIG,.,100.00,71,1637,1473,0,0,1,71,,2,72,,6.00E-29,betweenloci
7,Ablerus,Lelaps,,I26407,I21705,L713_MERG00053_0101_SUPERCONTIG,L112_MERG00271_0101_SUPERCONTIG,.,95.70,186,1464,758,8,0,306,491,,10,195,,8.00E-80,betweenloci
7,Ablerus,Lelaps,,I26415,I21705,L713_MERG00054_0101_SUPERCONTIG,L112_MERG00271_0101_SUPERCONTIG,.,96.24,186,1464,657,7,0,134,319,,10,195,,2.00E-81,betweenloci
1,Ablerus,Macrorileya,,I26407,I26408,L182_MERG00053_0101_SUPERCONTIG,L183_MERG00160_0101_SUPERCONTIG,.,100.00,443,1089,502,0,0,1,443,,153,595,,0.0,betweenloci
1,Ablerus,Macrorileya,,I26407,I26408,L182_MERG00053_0101_SUPERCONTIG,L181_MERG00160_0101_SUPERCONTIG,.,100.00,401,1102,502,0,0,1,401,,702,1102,,0.0,betweenloci
1,Ablerus,Macrorileya,,I26407,I26408,L185_MERG00053_0101_SUPERCONTIG,L186_MERG00160_0101_SUPERCONTIG,.,100.00,404,791,417,0,0,14,417,,1,404,,0.0,betweenloci
1,Ablerus,Macrorileya,,I26407,I26408,L185_MERG00053_0101_SUPERCONTIG,L184_MERG00160_0101_SUPERCONTIG,.,100.00,285,717,417,0,0,1,285,,433,717,,2.00E-148,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L245_MERG00053_0101_SUPERCONTIG,L244_MERG00160_0101_SUPERCONTIG,.,100.00,369,1006,508,0,0,1,369,,638,1006,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L283_MERG00053_0101_SUPERCONTIG,L282_MERG00160_0101_SUPERCONTIG,.,99.70,329,994,408,1,0,28,356,,666,994,,3.00E-171,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L301_MERG00053_0101_SUPERCONTIG,L300_MERG00160_0101_SUPERCONTIG,.,100.00,398,872,504,0,0,1,398,,475,872,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L301_MERG00053_0101_SUPERCONTIG,L302_MERG00160_0101_SUPERCONTIG,.,100.00,330,802,504,0,0,175,504,,1,330,,2.00E-173,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L436_MERG00053_0101_SUPERCONTIG,L437_MERG00160_0101_SUPERCONTIG,.,99.80,489,1064,555,1,0,67,555,,1,489,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L440_MERG00053_0101_SUPERCONTIG,L439_MERG00160_0101_SUPERCONTIG,.,100.00,348,1359,348,0,0,1,348,,483,830,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L447_MERG00053_0101_SUPERCONTIG,L448_MERG00160_0101_SUPERCONTIG,.,100.00,341,1273,341,0,0,1,341,,224,564,,1.00E-179,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L447_MERG00053_0101_SUPERCONTIG,L449_MERG00160_0101_SUPERCONTIG,.,99.71,341,1212,341,1,0,1,341,,49,389,,5.00E-178,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L450_MERG00053_0101_SUPERCONTIG,L451_MERG00160_0101_SUPERCONTIG,.,100.00,450,1331,450,0,0,1,450,,279,728,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L450_MERG00053_0101_SUPERCONTIG,L449_MERG00160_0101_SUPERCONTIG,.,100.00,450,1212,450,0,0,1,450,,736,1185,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L511_MERG00053_0101_SUPERCONTIG,L512_MERG00160_0101_SUPERCONTIG,.,99.80,511,1155,511,1,0,1,511,,314,824,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L512_MERG00053_0101_SUPERCONTIG,L511_MERG00160_0101_SUPERCONTIG,.,99.84,629,1087,684,1,0,1,629,,458,1086,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L51_MERG00053_0101_SUPERCONTIG,L50_MERG00160_0101_SUPERCONTIG,.,100.00,698,1160,744,0,0,1,698,,463,1160,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L51_MERG00053_0101_SUPERCONTIG,L49_MERG00160_0101_SUPERCONTIG,.,100.00,435,1436,744,0,0,1,435,,1002,1436,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L528_MERG00053_0101_SUPERCONTIG,L529_MERG00160_0101_SUPERCONTIG,.,100.00,622,1182,658,0,0,37,658,,1,622,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L542_MERG00053_0101_SUPERCONTIG,L543_MERG00160_0101_SUPERCONTIG,.,99.82,556,894,556,1,0,1,556,,101,656,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L543_MERG00053_0101_SUPERCONTIG,L542_MERG00160_0101_SUPERCONTIG,.,100.00,451,759,451,0,0,1,451,,246,696,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L597_MERG00053_0101_SUPERCONTIG,L596_MERG00160_0101_SUPERCONTIG,.,100.00,583,1116,626,0,0,1,583,,534,1116,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L617_MERG00053_0101_SUPERCONTIG,L616_MERG00160_0101_SUPERCONTIG,.,100.00,397,1085,397,0,0,1,397,,535,931,,0.0,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L681_MERG00053_0101_SUPERCONTIG,L682_MERG00160_0101_SUPERCONTIG,.,100.00,323,1139,323,0,0,1,323,,73,395,,1.00E-169,betweenloci
2,Ablerus,Macrorileya,,I26407,I26408,L681_MERG00053_0101_SUPERCONTIG,L680_MERG00160_0101_SUPERCONTIG,.,100.00,233,864,323,0,0,1,233,,632,864,,1.00E-119,betweenloci
1,Ablerus,Macrorileya,,I26407,I26408,L182_MERG00053_0101_SUPERCONTIG,L182_MERG00160_0101_SUPERCONTIG,.,100.00,443,1387,502,0,0,1,443,,434,876,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L185_MERG00053_0101_SUPERCONTIG,L185_MERG00160_0101_SUPERCONTIG,.,100.00,417,1046,417,0,0,1,417,,372,788,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L245_MERG00053_0101_SUPERCONTIG,L245_MERG00160_0101_SUPERCONTIG,.,100.00,508,1167,508,0,0,1,508,,347,854,,0.0,withinloci
2,Ablerus,Macrorileya,,I26407,I26408,L283_MERG00053_0101_SUPERCONTIG,L283_MERG00160_0101_SUPERCONTIG,.,99.74,381,948,408,1,0,28,408,,370,750,,0.0,withinloci
2,Ablerus,Macrorileya,,I26407,I26408,L291_MERG00053_0101_SUPERCONTIG,L291_MERG00160_0101_SUPERCONTIG,.,100.00,364,905,364,0,0,1,364,,151,514,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L301_MERG00053_0101_SUPERCONTIG,L301_MERG00160_0101_SUPERCONTIG,.,100.00,504,850,504,0,0,1,504,,135,638,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L372_MERG00053_0101_SUPERCONTIG,L372_MERG00160_0101_SUPERCONTIG,.,99.85,653,1275,1863,1,0,1211,1863,,575,1227,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L398_MERG00053_0101_SUPERCONTIG,L398_MERG00160_0101_SUPERCONTIG,.,100.00,493,1226,493,0,0,1,493,,462,954,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L435_MERG00053_0101_SUPERCONTIG,L435_MERG00160_0101_SUPERCONTIG,.,100.00,294,732,294,0,0,1,294,,230,523,,9.00E-157,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L436_MERG00053_0101_SUPERCONTIG,L436_MERG00160_0101_SUPERCONTIG,.,99.82,555,768,555,1,0,1,555,,79,633,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L440_MERG00053_0101_SUPERCONTIG,L440_MERG00160_0101_SUPERCONTIG,.,100.00,348,1187,348,0,0,1,348,,301,648,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L447_MERG00053_0101_SUPERCONTIG,L447_MERG00160_0101_SUPERCONTIG,.,100.00,341,1028,341,0,0,1,341,,280,620,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L450_MERG00053_0101_SUPERCONTIG,L450_MERG00160_0101_SUPERCONTIG,.,100.00,450,1388,450,0,0,1,450,,634,1083,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L491_MERG00053_0101_SUPERCONTIG,L491_MERG00160_0101_SUPERCONTIG,.,100.00,578,1275,578,0,0,1,578,,337,914,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L511_MERG00053_0101_SUPERCONTIG,L511_MERG00160_0101_SUPERCONTIG,.,100.00,511,1087,511,0,0,1,511,,458,968,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L512_MERG00053_0101_SUPERCONTIG,L512_MERG00160_0101_SUPERCONTIG,.,100.00,684,1155,684,0,0,1,684,,314,997,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L51_MERG00053_0101_SUPERCONTIG,L51_MERG00160_0101_SUPERCONTIG,.,100.00,744,1070,744,0,0,1,744,,188,931,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L528_MERG00053_0101_SUPERCONTIG,L528_MERG00160_0101_SUPERCONTIG,.,100.00,658,1018,658,0,0,1,658,,187,844,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L542_MERG00053_0101_SUPERCONTIG,L542_MERG00160_0101_SUPERCONTIG,.,100.00,556,759,556,0,0,1,556,,141,696,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L543_MERG00053_0101_SUPERCONTIG,L543_MERG00160_0101_SUPERCONTIG,.,99.78,451,894,451,1,0,1,451,,206,656,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L597_MERG00053_0101_SUPERCONTIG,L597_MERG00160_0101_SUPERCONTIG,.,100.00,626,1010,626,0,0,1,626,,84,709,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L617_MERG00053_0101_SUPERCONTIG,L617_MERG00160_0101_SUPERCONTIG,.,100.00,397,1049,397,0,0,1,397,,360,756,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L681_MERG00053_0101_SUPERCONTIG,L681_MERG00160_0101_SUPERCONTIG,.,100.00,323,984,323,0,0,1,323,,328,650,,1.00E-172,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L766_MERG00053_0101_SUPERCONTIG,L766_MERG00160_0101_SUPERCONTIG,.,100.00,476,578,476,0,0,1,476,,49,524,,0.0,withinloci
1,Ablerus,Macrorileya,,I26407,I26408,L818_MERG00053_0101_SUPERCONTIG,L818_MERG00160_0101_SUPERCONTIG,.,100.00,527,1130,1838,0,0,1,527,,210,736,,0.0,withinloci
