query_locus,target_locus,overlap_types,overlap_type_count
L1,L1,"C,D,G,H",4
L100,L100,"C,D",2
L1000,L1000,"C,D,G",3
L1001,L1001,"A,C,D,G",4
L1003,L1003,"A,C,D,G",4
L1004,L1004,"C,D,H",3
L1005,L1005,"A,C,D,G,H",5
L1006,L1006,"A,G,H",3
L1007,L1007,"C,D,G",3
L1008,L1008,"C,D,G,H",4
L1009,L1009,"C,D,G,H",4
L101,L101,"A,G",2
L1010,L1010,"C,D,G",3
L1011,L1011,"A,C,D,G",4
L1012,L1012,"A,B,C,D,G,H",6
L1013,L1013,"A,C,D,G",4
L1014,L1014,"A,C,D,G",4
L1015,L1015,"C,D,G",3
L1016,L1016,"A,C,D,G",4
L1017,L1017,"A,B,C,D,G",5
L1018,L1018,"C,D,G,H",4
L1019,L1019,"A,C,D,G",4
L102,L102,"C,D",2
L1020,L1020,"A,G",2
L1021,L1021,"C,D,G,H",4
L1022,L1022,"D,G,H",3
L1023,L1023,"C,D,G,H",4
L1024,L1024,"B,C,D,G,H",5
L1026,L1026,"C,D,G",3
L1027,L1027,"A,C,D,G,H",5
L1028,L1028,"B,G",2
L1029,L1029,"C,D,H",3
L103,L103,"C,D",2
L1030,L1030,"C,D,G",3
L1031,L1031,"C,D,G,H",4
L1032,L1032,"C,D,G",3
L1033,L1033,"A,C,D,G,H",5
L1034,L1034,"C,D",2
L1035,L1035,"C,D,G,H",4
L1037,L1037,"C,D,H",3
L1038,L1038,"A,B,G",3
L1039,L1039,"A,C,D,G",4
L104,L104,"C,D,G",3
L1040,L1040,"A,D,G",3
L1041,L1041,"C,D",2
L1042,L1042,"C,D,G",3
L1043,L1043,"C,D,G",3
L1044,L1044,"C,D",2
L1045,L1045,"C,D",2
L1046,L1046,"C,D,G",3
L1047,L1047,"B,C,D,G,H",5
L1048,L1048,"C,D",2
L1049,L1049,"C,D,G",3
L105,L105,"A,B,C,D,G",5
L106,L106,"C,D",2
L107,L107,"B,C,D,G,H",5
L108,L108,"C,D,G",3
L109,L109,"C,D,G",3
L11,L11,"C,D,G",3
L110,L110,"A,C,D,G,H",5
L111,L111,"A,D,G,H",4
L112,L112,"B,C,D,G,H",5
L113,L113,"C,D,H",3
L114,L114,"A,C,D,G",4
L115,L115,"A,C,D,G",4
L116,L116,"A,C,D,G,H",5
L117,L117,"A,C,D,G,H",5
L118,L118,"A,C,D,G",4
L119,L119,"C,D,G",3
L12,L12,"A,C,D,G,H",5
L120,L120,"A,C,D",3
L121,L121,"A,D,G",3
L122,L122,"C,D,G",3
L123,L123,G,1
L124,L124,"D,G,H",3
L125,L125,"D,G",2
L126,L126,"D,G,H",3
L127,L127,"C,D",2
L128,L128,"D,H",2
L129,L129,"C,D,G",3
L13,L13,"C,D,G,H",4
L130,L130,"A,C,D,G",4
L131,L131,"A,B,C,D,G",5
L132,L132,"C,D,G",3
L133,L133,"A,C,D,G",4
L134,L134,"B,C,D,G,H",5
L135,L135,"C,D,G",3
L136,L136,G,1
L137,L137,"C,D",2
L139,L139,"C,D",2
L14,L14,"D,G,H",3
L140,L140,"A,C,D,G,H",5
L141,L141,"C,D",2
L142,L142,"C,D",2
L143,L143,"A,B,C,D,G,H",6
L144,L144,"C,D",2
L145,L145,"B,C,D,G,H",5
L146,L146,"A,C,D,G",4
L147,L147,"C,D,G,H",4
L148,L148,"G,H",2
L149,L149,"C,D,H",3
L15,L15,"A,C,D,G,H",5
L150,L150,"A,D,G",3
L152,L152,"A,C,D,G",4
L153,L153,"C,D,G,H",4
L154,L154,"A,C,D,G",4
L155,L155,"C,D,G",3
L158,L158,"C,D,G",3
L159,L159,"A,G,H",3
L16,L16,"A,C,D,G",4
L160,L160,"C,D,G",3
L161,L161,"A,C,D,G",4
L162,L162,"A,C,D,G,H",5
L163,L163,"A,C,D,G",4
L164,L164,"A,C,D,G",4
L165,L165,"A,G,H",3
L166,L166,"A,C,D,G",4
L167,L167,"B,C,D,G",4
L168,L168,"A,D,G",3
L169,L169,"C,D,G",3
L17,L17,"A,C,D",3
L170,L170,"C,D,G",3
L171,L171,"C,D",2
L172,L172,"B,G",2
L173,L173,"A,C,D,G,H",5
L174,L174,"B,C,D",3
L175,L175,"C,D,H",3
L176,L176,"A,B,C,D,G,H",6
L177,L177,"C,D,G,H",4
L178,L178,"A,D",2
L18,L18,"C,D,G,H",4
L180,L180,"C,D",2
L181,L181,"A,C,D,G",4
L182,L182,"A,C,D,G",4
L183,L183,"C,D,G",3
L184,L184,"C,D,G",3
L185,L185,"C,D,G",3
L186,L186,"C,D",2
L187,L187,"A,C,D,G,H",5
L188,L188,"A,C,D,G",4
L189,L189,"A,C,D,G",4
L19,L19,"C,D,G,H",4
L190,L190,"C,D",2
L191,L191,"C,D,G",3
L192,L192,"C,D",2
L193,L193,"C,D,G",3
L194,L194,"C,D,G,H",4
L195,L195,"C,D,H",3
L196,L196,"C,D,G",3
L197,L197,"C,D,G",3
L198,L198,"C,D",2
L199,L199,"B,C,D,G",4
L2,L2,"A,C,D,G",4
L20,L20,"C,D,G,H",4
L200,L200,"C,D,G",3
L201,L201,D,1
L202,L202,"A,C,D,G",4
L203,L203,"A,D,G",3
L204,L204,"C,D",2
L205,L205,"C,D",2
L206,L206,"A,C,D,G",4
L207,L207,"C,D,G",3
L208,L208,"C,D,G",3
L209,L209,"C,D",2
L211,L211,"A,C,D,G,H",5
L212,L212,"A,C,D,G",4
L213,L213,"A,C,D,G,H",5
L214,L214,"C,D,G,H",4
L215,L215,"C,D,G",3
L216,L216,"A,C,D,G",4
L217,L217,"C,D,G,H",4
L218,L218,"A,D,G",3
L219,L219,"C,D,G,H",4
L22,L22,"C,D,G,H",4
L220,L220,"C,D,G",3
L221,L221,G,1
L223,L223,"A,B,C,D,G,H",6
L224,L224,"A,D,G",3
L225,L225,"A,C,D,G,H",5
L226,L226,"A,C,D,G",4
L227,L227,"A,C,D,G,H",5
L228,L228,"A,C,D,G",4
L229,L229,"C,D,G",3
L23,L23,"C,D,G,H",4
L230,L230,G,1
L231,L231,"C,D,G,H",4
L232,L232,"B,C,D,G",4
L233,L233,"A,G,H",3
L234,L234,"A,B,C,D,G",5
L235,L235,"C,D,G",3
L236,L236,"B,C,D,G,H",5
L237,L237,"C,D,G",3
L239,L239,"C,D,G,H",4
L24,L24,"A,C,D,G,H",5
L240,L240,"A,C,D,G",4
L241,L241,"C,D,G,H",4
L242,L242,"A,B,D,G",4
L243,L243,"C,D,G,H",4
L244,L244,"A,B,D,G,H",5
L245,L245,"C,D,G",3
L246,L246,"C,D,G",3
L248,L248,"C,D",2
L249,L249,"C,D",2
L25,L25,"B,C,D,G",4
L250,L250,"A,C,D",3
L251,L251,"A,B,C,D,G",5
L252,L252,"C,D,G",3
L253,L253,"A,B,C,D,G,H",6
L254,L254,"C,D,G",3
L255,L255,"C,D",2
L256,L256,"A,C,D",3
L257,L257,"A,C,D,G,H",5
L258,L258,"A,C,D,G",4
