exclude,exclude_query,query_genus,query_family,query_subfamily,exclude_target,target_genus,target_family,target_subfamily,i_query,i_target,c_contaminated_score,composite_score,query_qubit,target_qubit,concentration_difference,concentration_ratio,plate_query,plate_target,query_plate_x,query_plate_y,target_plate_x,target_plate_y,qt_plate_distance,overlap_type,s_locus_overlap,s_same_locus,s_proportional_length,s_taxon_difference,s_plate_similarity,x_concentration_difference,s_concentration_ratio,s_proportional_difference,s_column_identity,cs_exact_match_different_locus,query_locus,target_locus,percent_similarity,length_of_match,query_length,target_length,unmatched_basepairs,gap_open,qstart,qend,tstart,tend,evalue,ucd_genus_query_id,ucd_genus_target_id,target_seq,query_seq
1,0,Pseudidarnes,Agaonidae,Sycophaginae,1,Poropoea,Trichogrammatidae,Trichogrammatinae,I29052,I29006,3,5,7.8,0.5,7.3,0.064,6,6,7,7,3,9,10.77,C,1,1,1,1,1,0,0,0,0,1,L1000,L1000,99.56,454,816,454,2,0,323,776,1,454,0.0,458094,456889,L1000_MERG00010_0101_SUPERCONTIG,L1000_MERG00393_0101_SUPERCONTIG
2,1,New Genus,UNKNOWN,UNKNOWN,1,Lambdobregma,Eupelmidae,Neanastatinae,I29022,I29038,3,5,,2.16,,,6,6,5,1,6,5,11.045,C,1,1,1,1,1,0,0,0,0,1,L1000,L1000,99.63,547,568,546,1,1,15,561,1,546,0.0,,456921,L1000_MERG00046_0101_SUPERCONTIG,L1000_MERG00154_0101_SUPERCONTIG
2,1,Lambdobregma,Eupelmidae,Neanastatinae,1,New Genus,UNKNOWN,UNKNOWN,I29038,I29022,3,5,2.16,,,,6,6,6,5,5,1,11.045,D,1,1,1,1,1,0,0,0,0,1,L1000,L1000,99.63,547,546,568,1,1,1,546,15,561,0.0,456921,,L1000_MERG00154_0101_SUPERCONTIG,L1000_MERG00046_0101_SUPERCONTIG
0,0,Aditrochus,Pteromalidae,Ormocerinae,0,Plastobelyta,Pteromalidae,Ormocerinae,I21665,I27434,0,3,4.733,1.07,3.663,0.226,0.5,5,3,0,5,9,,G,1,1,0,0,0,1,1,0,0,1,L1000,L1000,96.09,256,489,506,10,0,142,397,251,506,1.00E-118,456193,458039,L1000_MERG00309_0101_SUPERCONTIG,L1000_MERG00319_0101_SUPERCONTIG
0,0,Plastobelyta,Pteromalidae,Ormocerinae,0,Aditrochus,Pteromalidae,Ormocerinae,I27434,I21665,0,3,1.07,4.733,-3.663,0.226,5,0.5,5,9,3,0,,G,1,1,0,0,0,1,1,0,0,1,L1000,L1000,96.09,256,506,489,10,0,251,506,142,397,1.00E-118,458039,456193,L1000_MERG00319_0101_SUPERCONTIG,L1000_MERG00309_0101_SUPERCONTIG
1,1,Poropoea,Trichogrammatidae,Trichogrammatinae,0,Pseudidarnes,Agaonidae,Sycophaginae,I29006,I29052,3,5,0.5,7.8,-7.3,0.064,6,6,3,9,7,7,10.77,D,1,1,1,1,1,0,0,0,0,1,L1000,L1000,99.56,454,454,816,2,0,1,454,323,776,0.0,456889,458094,L1000_MERG00393_0101_SUPERCONTIG,L1000_MERG00010_0101_SUPERCONTIG
2,1,Eunotiscus,Eriaporidae,Eriaporinae,1,Macromesus,Pteromalidae,Macromesinae,I27411,I27403,3,7,0.390,0.276,0.114,0.708,5,5,3,10,3,2,6.0,D,1,1,1,1,1,0,0,1,1,1,L1001,L1001,100.00,518,518,1462,0,0,1,518,770,1287,0.0,457306,457052,L1001_MERG00090_0101_SUPERCONTIG,L1001_MERG00303_0101_SUPERCONTIG
2,1,Promuscidea,Eriaporidae,Eriaporinae,1,Solenura,Pteromalidae,Cleonyminae,I27405,I27397,3,6,0.296,0.230,0.066,0.777,5,5,3,4,2,8,5.099,D,1,1,1,1,1,0,0,1,0,1,L1001,L1001,100.00,295,295,1273,0,0,1,295,663,957,5.00E-157,456257,457252,L1001_MERG00091_0101_SUPERCONTIG,L1001_MERG00255_0101_SUPERCONTIG
0,0,Colocharis,Eucharitidae,Eucharitinae,0,Kapala,Eucharitidae,Eucharitinae,I12647,I12623,0,2,,,,,,,3,5,1,5,,G,1,1,0,0,0,0,0,0,0,1,L1001,L1001,97.08,1265,1500,1596,37,0,78,1342,332,1596,0.0,457012,456824,L1001_MERG00097_0101_SUPERCONTIG,L1001_MERG00099_0101_SUPERCONTIG
0,0,Colocharis,Eucharitidae,Eucharitinae,0,Kapala,Eucharitidae,Eucharitinae,I12647,I12623,0,2,,,,,,,3,5,1,5,,G,1,1,0,0,0,0,0,0,0,1,L1001,L1001,98.65,74,1500,1596,1,0,4,77,746,819,9.00E-32,457012,456824,L1001_MERG00097_0101_SUPERCONTIG,L1001_MERG00099_0101_SUPERCONTIG
0,0,Kapala,Eucharitidae,Eucharitinae,0,Colocharis,Eucharitidae,Eucharitinae,I12623,I12647,0,2,,,,,,,1,5,3,5,,G,1,1,0,0,0,0,0,0,0,1,L1001,L1001,97.08,1265,1596,1500,37,0,332,1596,78,1342,0.0,456824,457012,L1001_MERG00099_0101_SUPERCONTIG,L1001_MERG00097_0101_SUPERCONTIG
0,0,Kapala,Eucharitidae,Eucharitinae,0,Colocharis,Eucharitidae,Eucharitinae,I12623,I12647,0,2,,,,,,,1,5,3,5,,G,1,1,0,0,0,0,0,0,0,1,L1001,L1001,98.65,74,1596,1500,1,0,746,819,4,77,1.00E-31,456824,457012,L1001_MERG00099_0101_SUPERCONTIG,L1001_MERG00097_0101_SUPERCONTIG
0,0,Tetramesa,Eurytomidae,Eurytominae,0,Aiolomorphus,Eurytomidae,Eurytominae,I21916,I21923,2,5,0.672,3.0,-2.328,0.224,1,1,0,4,0,11,0.0,G,1,1,1,0,1,0,0,0,1,1,L1001,L1001,95.61,1208,1228,1408,53,0,11,1218,23,1230,0.0,456675,456209,L1001_MERG00169_0101_SUPERCONTIG,L1001_MERG00161_0101_SUPERCONTIG
0,0,Aeschylia,Pteromalidae,Ormocerinae,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,I26443,I27454,0,3,1.26,8.82,-7.56,0.143,4,5,5,10,7,6,,G,1,1,0,0,0,1,1,0,0,1,L1001,L1001,98.70,461,625,672,6,0,1,461,212,672,0.0,456215,456737,L1001_MERG00310_0101_SUPERCONTIG,L1001_MERG00314_0101_SUPERCONTIG
0,0,Brachyscelidiphaga,Pteromalidae,Ormocerinae,0,Aeschylia,Pteromalidae,Ormocerinae,I27454,I26443,0,3,8.82,1.26,7.56,0.143,5,4,7,6,5,10,,A,1,1,0,0,0,1,1,0,0,1,L1001,L1001,98.70,461,672,625,6,0,212,672,1,461,0.0,456737,456215,L1001_MERG00314_0101_SUPERCONTIG,L1001_MERG00310_0101_SUPERCONTIG
0,0,Tanaostigma,Tanaostigmatidae,,0,Tanaostigmodes,Tanaostigmatidae,,I8171,I23223,1,3,,0.436,,,,2,10,11,1,4,,D,1,1,1,0,0,0,0,0,0,1,L1001,L1001,99.60,747,747,1343,2,1,1,747,561,1306,0.0,457097,457060,L1001_MERG00362_0101_SUPERCONTIG,L1001_MERG00363_0101_SUPERCONTIG
