contamination,query_genus,target_genus,query_seq,I# query,target_seq,I# target,%similarity,length of match (bp),mismatch,gapopen, qstart ,qend ,qlength,tstart ,tend ,tlength,evalue,note
contamination,query_genus,target_genus,query_seq,I#query,target_seq,I#target,%similarity,length_of_match,mismatch,gapopen,qstart,qend,qlength,tstart,tend,tlength,evalue,expected%similarity_if_sequencingerror
,Melittobia,Dasyomphale,L1000_MERG00136_0101,I5108,L1000_MERG00110_0101_SUPERCONTIG,I24001,99.36,312,2,0,1,312,321,1,312,321,1.00E-163,99.688
,Nasonia,Trichomalopsis,L1000_MERG00337_0101,I5103,L1000_MERG00343_0101,I5110,99.36,312,2,0,1,312,321,1,312,321,1.00E-163,99.688
,Trichomalopsis,Nasonia,L1000_MERG00343_0101,I5110,L1000_MERG00337_0101,I5103,99.36,312,2,0,1,312,321,1,312,321,1.00E-163,99.688
,Pseudidarnes,Poropoea,L1000_MERG00010_0101_SUPERCONTIG,I29052,L1000_MERG00393_0101_SUPERCONTIG,I29006,99.69,321,1,0,1,321,321,1,321,321,2.00E-170,99.679
,New Genus,Lambdobregma,L1000_MERG00046_0101_SUPERCONTIG,I29022,L1000_MERG00154_0101_SUPERCONTIG,I29038,100.00,321,0,0,1,321,321,1,321,321,5.00E-172,99.679
,Dasyomphale,Melittobia,L1000_MERG00110_0101_SUPERCONTIG,I24001,L1000_MERG00136_0101,I5108,99.36,312,2,0,1,312,321,1,312,321,1.00E-163,99.688
,Lambdobregma,New Genus,L1000_MERG00154_0101_SUPERCONTIG,I29038,L1000_MERG00046_0101_SUPERCONTIG,I29022,100.00,321,0,0,1,321,321,1,321,321,5.00E-172,99.679
,Poropoea,Pseudidarnes,L1000_MERG00393_0101_SUPERCONTIG,I29006,L1000_MERG00010_0101_SUPERCONTIG,I29052,99.69,321,1,0,1,321,321,1,321,321,2.00E-170,99.679
,Eunotiscus,Macromesus,L1001_MERG00090_0101_SUPERCONTIG,I27411,L1001_MERG00303_0101_SUPERCONTIG,I27403,100.00,489,0,0,1,489,489,604,1092,1092,0.0,99.511
